,trip_cat,num_rides,neighbourhood
0,0,19404,upper_manhattan
1,1,28583,upper_manhattan
2,2,12833,upper_manhattan
3,3,6354,upper_manhattan
4,4,3771,upper_manhattan
5,5,2798,upper_manhattan
6,6,1920,upper_manhattan
7,7,1540,upper_manhattan
8,8,989,upper_manhattan
9,9,572,upper_manhattan
10,10,351,upper_manhattan
11,11,221,upper_manhattan
12,12,126,upper_manhattan
13,13,103,upper_manhattan
14,14,87,upper_manhattan
15,15,71,upper_manhattan
16,16,63,upper_manhattan
17,17,122,upper_manhattan
18,18,301,upper_manhattan
19,19,57,upper_manhattan
20,20,19,upper_manhattan
21,21,11,upper_manhattan
22,22,8,upper_manhattan
23,23,5,upper_manhattan
24,24,5,upper_manhattan
25,25,44,upper_manhattan
26,0,6,lower_manhattan
27,1,1,lower_manhattan
28,2,7,lower_manhattan
29,3,1,lower_manhattan
30,4,4,lower_manhattan
31,5,1,lower_manhattan
32,6,1,lower_manhattan
33,7,1,lower_manhattan
34,8,1,lower_manhattan
35,9,1,lower_manhattan
36,10,0,lower_manhattan
37,11,1,lower_manhattan
38,12,0,lower_manhattan
39,13,0,lower_manhattan
40,14,0,lower_manhattan
41,15,0,lower_manhattan
42,16,0,lower_manhattan
43,17,0,lower_manhattan
44,18,0,lower_manhattan
45,19,0,lower_manhattan
46,20,0,lower_manhattan
47,21,0,lower_manhattan
48,22,0,lower_manhattan
49,23,0,lower_manhattan
50,24,0,lower_manhattan
51,25,0,lower_manhattan
52,0,60715,Downtown_Bk
53,1,90299,Downtown_Bk
54,2,57377,Downtown_Bk
55,3,39335,Downtown_Bk
56,4,24441,Downtown_Bk
57,5,14783,Downtown_Bk
58,6,11201,Downtown_Bk
59,7,8188,Downtown_Bk
60,8,5241,Downtown_Bk
61,9,3784,Downtown_Bk
62,10,3176,Downtown_Bk
63,11,2170,Downtown_Bk
64,12,1849,Downtown_Bk
65,13,1134,Downtown_Bk
66,14,591,Downtown_Bk
67,15,398,Downtown_Bk
68,16,373,Downtown_Bk
69,17,531,Downtown_Bk
70,18,449,Downtown_Bk
71,19,219,Downtown_Bk
72,20,111,Downtown_Bk
73,21,87,Downtown_Bk
74,22,59,Downtown_Bk
75,23,44,Downtown_Bk
76,24,43,Downtown_Bk
77,25,231,Downtown_Bk
78,0,1311,Bayridge_bk
79,1,1998,Bayridge_bk
80,2,1317,Bayridge_bk
81,3,763,Bayridge_bk
82,4,489,Bayridge_bk
83,5,399,Bayridge_bk
84,6,332,Bayridge_bk
85,7,263,Bayridge_bk
86,8,186,Bayridge_bk
87,9,161,Bayridge_bk
88,10,125,Bayridge_bk
89,11,94,Bayridge_bk
90,12,77,Bayridge_bk
91,13,61,Bayridge_bk
92,14,56,Bayridge_bk
93,15,31,Bayridge_bk
94,16,24,Bayridge_bk
95,17,16,Bayridge_bk
96,18,14,Bayridge_bk
97,19,15,Bayridge_bk
98,20,9,Bayridge_bk
99,21,4,Bayridge_bk
100,22,8,Bayridge_bk
101,23,7,Bayridge_bk
102,24,11,Bayridge_bk
103,25,16,Bayridge_bk
