,trip_cat,num_rides,neighbourhood
0,0,12597,upper_manhattan
1,1,18833,upper_manhattan
2,2,8681,upper_manhattan
3,3,4295,upper_manhattan
4,4,2587,upper_manhattan
5,5,1970,upper_manhattan
6,6,1401,upper_manhattan
7,7,1096,upper_manhattan
8,8,707,upper_manhattan
9,9,414,upper_manhattan
10,10,218,upper_manhattan
11,11,139,upper_manhattan
12,12,89,upper_manhattan
13,13,68,upper_manhattan
14,14,50,upper_manhattan
15,15,42,upper_manhattan
16,16,33,upper_manhattan
17,17,94,upper_manhattan
18,18,157,upper_manhattan
19,19,33,upper_manhattan
20,20,12,upper_manhattan
21,21,8,upper_manhattan
22,22,9,upper_manhattan
23,23,4,upper_manhattan
24,24,3,upper_manhattan
25,25,23,upper_manhattan
26,0,9,lower_manhattan
27,1,17,lower_manhattan
28,2,13,lower_manhattan
29,3,20,lower_manhattan
30,4,16,lower_manhattan
31,5,10,lower_manhattan
32,6,10,lower_manhattan
33,7,1,lower_manhattan
34,8,4,lower_manhattan
35,9,2,lower_manhattan
36,10,2,lower_manhattan
37,11,4,lower_manhattan
38,12,1,lower_manhattan
39,13,1,lower_manhattan
40,14,2,lower_manhattan
41,15,1,lower_manhattan
42,16,0,lower_manhattan
43,17,0,lower_manhattan
44,18,0,lower_manhattan
45,19,0,lower_manhattan
46,20,0,lower_manhattan
47,21,0,lower_manhattan
48,22,0,lower_manhattan
49,23,0,lower_manhattan
50,24,0,lower_manhattan
51,25,0,lower_manhattan
52,0,20868,Downtown_Bk
53,1,34795,Downtown_Bk
54,2,23426,Downtown_Bk
55,3,17069,Downtown_Bk
56,4,11072,Downtown_Bk
57,5,6499,Downtown_Bk
58,6,4950,Downtown_Bk
59,7,3738,Downtown_Bk
60,8,2350,Downtown_Bk
61,9,1552,Downtown_Bk
62,10,1303,Downtown_Bk
63,11,836,Downtown_Bk
64,12,739,Downtown_Bk
65,13,498,Downtown_Bk
66,14,251,Downtown_Bk
67,15,159,Downtown_Bk
68,16,120,Downtown_Bk
69,17,184,Downtown_Bk
70,18,130,Downtown_Bk
71,19,81,Downtown_Bk
72,20,40,Downtown_Bk
73,21,27,Downtown_Bk
74,22,18,Downtown_Bk
75,23,7,Downtown_Bk
76,24,14,Downtown_Bk
77,25,87,Downtown_Bk
78,0,326,Bayridge_bk
79,1,479,Bayridge_bk
80,2,366,Bayridge_bk
81,3,222,Bayridge_bk
82,4,165,Bayridge_bk
83,5,116,Bayridge_bk
84,6,104,Bayridge_bk
85,7,95,Bayridge_bk
86,8,82,Bayridge_bk
87,9,64,Bayridge_bk
88,10,56,Bayridge_bk
89,11,32,Bayridge_bk
90,12,15,Bayridge_bk
91,13,19,Bayridge_bk
92,14,18,Bayridge_bk
93,15,7,Bayridge_bk
94,16,7,Bayridge_bk
95,17,13,Bayridge_bk
96,18,3,Bayridge_bk
97,19,2,Bayridge_bk
98,20,3,Bayridge_bk
99,21,4,Bayridge_bk
100,22,2,Bayridge_bk
101,23,3,Bayridge_bk
102,24,0,Bayridge_bk
103,25,5,Bayridge_bk
