,trip_cat,num_rides,neighbourhood
0,0,20111,upper_manhattan
1,1,29558,upper_manhattan
2,2,12756,upper_manhattan
3,3,5881,upper_manhattan
4,4,3259,upper_manhattan
5,5,2604,upper_manhattan
6,6,1919,upper_manhattan
7,7,1573,upper_manhattan
8,8,968,upper_manhattan
9,9,524,upper_manhattan
10,10,354,upper_manhattan
11,11,233,upper_manhattan
12,12,144,upper_manhattan
13,13,117,upper_manhattan
14,14,78,upper_manhattan
15,15,94,upper_manhattan
16,16,56,upper_manhattan
17,17,197,upper_manhattan
18,18,308,upper_manhattan
19,19,65,upper_manhattan
20,20,24,upper_manhattan
21,21,13,upper_manhattan
22,22,12,upper_manhattan
23,23,6,upper_manhattan
24,24,7,upper_manhattan
25,25,53,upper_manhattan
26,0,0,lower_manhattan
27,1,0,lower_manhattan
28,2,0,lower_manhattan
29,3,1,lower_manhattan
30,4,0,lower_manhattan
31,5,0,lower_manhattan
32,6,0,lower_manhattan
33,7,0,lower_manhattan
34,8,0,lower_manhattan
35,9,0,lower_manhattan
36,10,0,lower_manhattan
37,11,0,lower_manhattan
38,12,0,lower_manhattan
39,13,0,lower_manhattan
40,14,0,lower_manhattan
41,15,0,lower_manhattan
42,16,0,lower_manhattan
43,17,0,lower_manhattan
44,18,0,lower_manhattan
45,19,0,lower_manhattan
46,20,0,lower_manhattan
47,21,0,lower_manhattan
48,22,0,lower_manhattan
49,23,0,lower_manhattan
50,24,0,lower_manhattan
51,25,0,lower_manhattan
52,0,66640,Downtown_Bk
53,1,94719,Downtown_Bk
54,2,57625,Downtown_Bk
55,3,38830,Downtown_Bk
56,4,23431,Downtown_Bk
57,5,14286,Downtown_Bk
58,6,11441,Downtown_Bk
59,7,8342,Downtown_Bk
60,8,5324,Downtown_Bk
61,9,4045,Downtown_Bk
62,10,3172,Downtown_Bk
63,11,2263,Downtown_Bk
64,12,1888,Downtown_Bk
65,13,1244,Downtown_Bk
66,14,555,Downtown_Bk
67,15,457,Downtown_Bk
68,16,372,Downtown_Bk
69,17,529,Downtown_Bk
70,18,447,Downtown_Bk
71,19,231,Downtown_Bk
72,20,127,Downtown_Bk
73,21,94,Downtown_Bk
74,22,48,Downtown_Bk
75,23,41,Downtown_Bk
76,24,51,Downtown_Bk
77,25,270,Downtown_Bk
78,0,1193,Bayridge_bk
79,1,1793,Bayridge_bk
80,2,1251,Bayridge_bk
81,3,783,Bayridge_bk
82,4,443,Bayridge_bk
83,5,380,Bayridge_bk
84,6,326,Bayridge_bk
85,7,265,Bayridge_bk
86,8,182,Bayridge_bk
87,9,160,Bayridge_bk
88,10,117,Bayridge_bk
89,11,93,Bayridge_bk
90,12,70,Bayridge_bk
91,13,83,Bayridge_bk
92,14,63,Bayridge_bk
93,15,38,Bayridge_bk
94,16,33,Bayridge_bk
95,17,23,Bayridge_bk
96,18,23,Bayridge_bk
97,19,16,Bayridge_bk
98,20,17,Bayridge_bk
99,21,9,Bayridge_bk
100,22,12,Bayridge_bk
101,23,11,Bayridge_bk
102,24,10,Bayridge_bk
103,25,18,Bayridge_bk
