,trip_cat,num_rides,neighbourhood
0,0,19149,upper_manhattan
1,1,26942,upper_manhattan
2,2,11660,upper_manhattan
3,3,5618,upper_manhattan
4,4,3355,upper_manhattan
5,5,2489,upper_manhattan
6,6,1867,upper_manhattan
7,7,1409,upper_manhattan
8,8,869,upper_manhattan
9,9,544,upper_manhattan
10,10,348,upper_manhattan
11,11,216,upper_manhattan
12,12,105,upper_manhattan
13,13,91,upper_manhattan
14,14,86,upper_manhattan
15,15,57,upper_manhattan
16,16,58,upper_manhattan
17,17,130,upper_manhattan
18,18,227,upper_manhattan
19,19,52,upper_manhattan
20,20,26,upper_manhattan
21,21,21,upper_manhattan
22,22,8,upper_manhattan
23,23,6,upper_manhattan
24,24,9,upper_manhattan
25,25,41,upper_manhattan
26,0,9,lower_manhattan
27,1,4,lower_manhattan
28,2,1,lower_manhattan
29,3,6,lower_manhattan
30,4,1,lower_manhattan
31,5,1,lower_manhattan
32,6,2,lower_manhattan
33,7,0,lower_manhattan
34,8,0,lower_manhattan
35,9,0,lower_manhattan
36,10,1,lower_manhattan
37,11,0,lower_manhattan
38,12,0,lower_manhattan
39,13,1,lower_manhattan
40,14,0,lower_manhattan
41,15,0,lower_manhattan
42,16,0,lower_manhattan
43,17,0,lower_manhattan
44,18,0,lower_manhattan
45,19,0,lower_manhattan
46,20,0,lower_manhattan
47,21,0,lower_manhattan
48,22,0,lower_manhattan
49,23,0,lower_manhattan
50,24,0,lower_manhattan
51,25,0,lower_manhattan
52,0,57784,Downtown_Bk
53,1,82679,Downtown_Bk
54,2,51717,Downtown_Bk
55,3,35543,Downtown_Bk
56,4,22327,Downtown_Bk
57,5,13857,Downtown_Bk
58,6,10219,Downtown_Bk
59,7,7574,Downtown_Bk
60,8,4927,Downtown_Bk
61,9,3388,Downtown_Bk
62,10,2659,Downtown_Bk
63,11,1889,Downtown_Bk
64,12,1639,Downtown_Bk
65,13,994,Downtown_Bk
66,14,526,Downtown_Bk
67,15,352,Downtown_Bk
68,16,300,Downtown_Bk
69,17,439,Downtown_Bk
70,18,390,Downtown_Bk
71,19,228,Downtown_Bk
72,20,109,Downtown_Bk
73,21,68,Downtown_Bk
74,22,32,Downtown_Bk
75,23,34,Downtown_Bk
76,24,35,Downtown_Bk
77,25,190,Downtown_Bk
78,0,1073,Bayridge_bk
79,1,1490,Bayridge_bk
80,2,1001,Bayridge_bk
81,3,597,Bayridge_bk
82,4,353,Bayridge_bk
83,5,289,Bayridge_bk
84,6,246,Bayridge_bk
85,7,213,Bayridge_bk
86,8,139,Bayridge_bk
87,9,160,Bayridge_bk
88,10,117,Bayridge_bk
89,11,60,Bayridge_bk
90,12,70,Bayridge_bk
91,13,47,Bayridge_bk
92,14,39,Bayridge_bk
93,15,29,Bayridge_bk
94,16,14,Bayridge_bk
95,17,18,Bayridge_bk
96,18,12,Bayridge_bk
97,19,11,Bayridge_bk
98,20,14,Bayridge_bk
99,21,5,Bayridge_bk
100,22,13,Bayridge_bk
101,23,6,Bayridge_bk
102,24,7,Bayridge_bk
103,25,20,Bayridge_bk
